precision,recall
0.034,1.0
0.03402268178785857,1.0
0.03404539385847797,1.0
0.03406813627254509,1.0
0.03409090909090909,1.0
0.03411371237458194,1.0
0.03413654618473896,1.0
0.03415941058271936,1.0
0.03420523138832998,1.0
0.03422818791946309,1.0
0.03425117528542646,1.0
0.034274193548387094,1.0
0.03429724277067922,1.0
0.034320323014804845,1.0
0.03434343434343434,1.0
0.03436657681940701,1.0
0.03438975050573163,1.0
0.03441295546558704,1.0
0.03443619176232275,1.0
0.03445945945945946,1.0
0.034482758620689655,1.0
0.03450608930987822,1.0
0.034529451591062965,1.0
0.034552845528455285,1.0
0.03457627118644068,1.0
0.03459972862957938,1.0
0.034623217922606926,1.0
0.034646739130434784,1.0
0.03467029231815092,1.0
0.03474114441416894,1.0
0.034764826175869123,1.0
0.034788540245566164,1.0
0.0348122866894198,1.0
0.03483606557377049,1.0
0.03488372093023256,1.0
0.03490759753593429,1.0
0.03493150684931507,1.0
0.03495544893762851,1.0
0.03497942386831276,1.0
0.035003431708991076,1.0
0.03502747252747253,1.0
0.03505154639175258,1.0
0.035075653370013754,1.0
0.03509979353062629,1.0
0.03512396694214876,1.0
0.03514817367332874,1.0
0.03517241379310345,1.0
0.035196687370600416,1.0
0.03522099447513812,1.0
0.035245335176226675,1.0
0.035269709543568464,1.0
0.03529411764705882,1.0
0.035318559556786706,1.0
0.035343035343035345,1.0
0.03536754507628294,1.0
0.03539208882720333,1.0
0.035416666666666666,1.0
0.035441278665740095,1.0
0.03546592489568846,1.0
0.03549060542797495,1.0
0.035515320334261836,1.0
0.03554006968641115,1.0
0.03556485355648536,1.0
0.03558967201674808,1.0
0.0356145251396648,1.0
0.03563941299790356,1.0
0.03566433566433566,1.0
0.03568929321203639,1.0
0.03571428571428571,1.0
0.035739313244569026,1.0
0.03576437587657784,1.0
0.035789473684210524,1.0
0.03581460674157303,1.0
0.035864978902953586,1.0
0.03589021815622801,1.0
0.03591549295774648,1.0
0.035940803382663845,1.0
0.03596614950634697,1.0
0.03599153140437544,1.0
0.036016949152542374,1.0
0.03606789250353607,1.0
0.036093418259023353,1.0
0.03611898016997167,1.0
0.03614457831325301,1.0
0.036170212765957444,1.0
0.0361958836053939,1.0
0.03622159090909091,1.0
0.03627311522048364,1.0
0.036298932384341634,1.0
0.03632478632478633,1.0
0.03637660485021398,1.0
0.03640256959314775,1.0
0.03642857142857143,1.0
0.036454610436025735,1.0
0.03648068669527897,1.0
0.03650680028632784,1.0
0.036532951289398284,1.0
0.03655913978494624,1.0
0.036585365853658534,1.0
0.0366116295764537,1.0
0.036637931034482756,1.0
0.03666427030913012,1.0
0.03669064748201439,1.0
0.0367170626349892,1.0
0.03674351585014409,1.0
0.03677000720980533,1.0
0.0367965367965368,1.0
0.0368231046931408,1.0
0.0368763557483731,1.0
0.03690303907380608,1.0
0.036929761042722664,1.0
0.03695652173913044,1.0
0.03698332124728064,1.0
0.037037037037037035,1.0
0.037063953488372096,1.0
0.03709090909090909,1.0
0.03711790393013101,1.0
0.037144938091769844,1.0
0.03717201166180758,1.0
0.037199124726477024,1.0
0.03722627737226277,1.0
0.03725346968590212,1.0
0.03728070175438596,1.0
0.03730797366495977,1.0
0.03733528550512445,1.0
0.03736263736263736,1.0
0.0373900293255132,1.0
0.03741746148202495,1.0
0.037444933920704845,1.0
0.03747244673034533,1.0
0.0375,1.0
0.037527593818984545,1.0
0.03755522827687776,1.0
0.03758290346352248,1.0
0.03761061946902655,1.0
0.037638376383763834,1.0
0.03766617429837518,1.0
0.03772189349112426,1.0
0.03774981495188749,1.0
0.03777777777777778,1.0
0.03780578206078577,1.0
0.0378619153674833,1.0
0.03789004457652303,1.0
0.0379182156133829,1.0
0.03794642857142857,1.0
0.0379746835443038,1.0
0.038002980625931444,1.0
0.03803131991051454,1.0
0.03805970149253731,1.0
0.038088125466766244,1.0
0.03811659192825112,1.0
0.0381451009723261,1.0
0.03817365269461078,1.0
0.038202247191011236,1.0
0.03823088455772114,1.0
0.03825956489122281,1.0
0.038288288288288286,1.0
0.03831705484598046,1.0
0.038345864661654135,1.0
0.03837471783295711,1.0
0.038403614457831324,1.0
0.03843255463451394,1.0
0.038461538461538464,1.0
0.038490566037735846,1.0
0.03851963746223565,1.0
0.03854875283446712,1.0
0.038577912254160365,1.0
0.03860711582134747,1.0
0.038636363636363635,1.0
0.03866565579984837,1.0
0.038694992412746584,1.0
0.0387243735763098,1.0
0.03875379939209726,1.0
0.03878326996197719,1.0
0.03881278538812785,1.0
0.03884234577303884,1.0
0.038871951219512195,1.0
0.038901601830663615,1.0
0.038931297709923665,1.0
0.03896103896103896,1.0
0.0389908256880734,1.0
0.03902065799540933,1.0
0.03905053598774885,1.0
0.03908045977011494,1.0
0.039110429447852764,1.0
0.039140445126630855,1.0
0.03917050691244239,1.0
0.03923076923076923,1.0
0.03926096997690531,1.0
0.039291217257318954,1.0
0.03932151117964534,1.0
0.03935185185185185,1.0
0.039382239382239385,1.0
0.03941267387944358,1.0
0.03944315545243619,1.0
0.039473684210526314,1.0
0.039504260263361735,1.0
0.03953488372093023,1.0
0.0395655546935609,1.0
0.039596273291925464,1.0
0.039627039627039624,1.0
0.03965785381026438,1.0
0.03968871595330739,1.0
0.0397196261682243,1.0
0.03975058456742011,1.0
0.039781591263650544,1.0
0.03981264637002342,1.0
0.03984375,1.0
0.0398749022673964,1.0
0.03990610328638498,1.0
0.039937353171495694,1.0
0.039968652037617555,1.0
0.04,1.0
0.040031397174254316,1.0
0.04006284367635507,1.0
0.04009433962264151,1.0
0.04012588512981904,1.0
0.04015748031496063,1.0
0.04018912529550828,1.0
0.04022082018927445,1.0
0.04025256511444357,1.0
0.04028436018957346,1.0
0.04031620553359684,1.0
0.040348101265822785,1.0
0.040380047505938245,1.0
