fpr,tpr
0.0,0.0
0.0,0.0024509803921568627
0.0,0.1323529411764706
0.02564102564102564,0.1323529411764706
0.02564102564102564,0.15441176470588236
0.038461538461538464,0.15441176470588236
0.038461538461538464,0.2181372549019608
0.05128205128205128,0.2181372549019608
0.05128205128205128,0.2818627450980392
0.0641025641025641,0.2818627450980392
0.0641025641025641,0.39705882352941174
0.07692307692307693,0.39705882352941174
0.07692307692307693,0.5416666666666666
0.10256410256410256,0.5416666666666666
0.10256410256410256,0.5563725490196079
0.11538461538461539,0.5563725490196079
0.11538461538461539,0.5759803921568627
0.1282051282051282,0.5759803921568627
0.1282051282051282,0.6004901960784313
0.14102564102564102,0.6004901960784313
0.14102564102564102,0.6519607843137255
0.15384615384615385,0.6519607843137255
0.15384615384615385,0.678921568627451
0.1794871794871795,0.678921568627451
0.1794871794871795,0.7573529411764706
0.19230769230769232,0.7573529411764706
0.19230769230769232,0.8946078431372549
0.20512820512820512,0.8946078431372549
0.20512820512820512,0.9313725490196079
0.21794871794871795,0.9313725490196079
0.21794871794871795,0.9975490196078431
0.3717948717948718,0.9975490196078431
0.3717948717948718,1.0
1.0,1.0
