fpr,tpr
0.0,0.0
0.0,0.0392156862745098
0.0,0.0784313725490196
0.0,0.6666666666666666
0.0006901311249137336,0.6666666666666666
0.0006901311249137336,0.7647058823529411
0.0013802622498274672,0.7647058823529411
0.0013802622498274672,0.7843137254901961
0.002070393374741201,0.7843137254901961
0.002070393374741201,0.8235294117647058
0.003450655624568668,0.8235294117647058
0.003450655624568668,0.8431372549019608
0.004140786749482402,0.8431372549019608
0.004140786749482402,0.8823529411764706
0.006211180124223602,0.8823529411764706
0.006211180124223602,0.9019607843137255
0.02139406487232574,0.9019607843137255
0.02139406487232574,0.9215686274509803
0.06142167011732229,0.9215686274509803
0.06142167011732229,0.9411764705882353
0.08695652173913043,0.9411764705882353
0.08695652173913043,0.9607843137254902
0.27674258109040717,0.9607843137254902
0.2781228433402346,0.9607843137254902
0.2781228433402346,0.9803921568627451
0.3492063492063492,0.9803921568627451
0.3505866114561767,0.9803921568627451
0.3699102829537612,0.9803921568627451
0.3712905452035887,0.9803921568627451
0.3968253968253968,0.9803921568627451
0.3968253968253968,1.0
0.4941338854382333,1.0
0.49551414768806074,1.0
0.665976535541753,1.0
0.6673567977915804,1.0
0.6908212560386473,1.0
0.6922015182884748,1.0
0.746031746031746,1.0
0.7474120082815735,1.0
0.8178053830227743,1.0
0.8191856452726018,1.0
0.8267770876466529,1.0
0.8281573498964804,1.0
0.8619737750172533,1.0
0.8633540372670807,1.0
0.8944099378881988,1.0
0.8957902001380262,1.0
0.8978605935127675,1.0
0.8992408557625949,1.0
0.9151138716356108,1.0
0.9164941338854382,1.0
0.9192546583850931,1.0
0.9206349206349206,1.0
0.9323671497584541,1.0
0.9337474120082816,1.0
0.935127674258109,1.0
0.9365079365079365,1.0
0.9406487232574189,1.0
0.9420289855072463,1.0
0.9461697722567288,1.0
0.9475500345065563,1.0
0.9737750172532781,1.0
0.9751552795031055,1.0
0.9779158040027606,1.0
0.9799861973775017,1.0
0.9937888198757764,1.0
0.9951690821256038,1.0
1.0,1.0
