precision,recall
0.06779661016949153,1.0
0.06808510638297872,1.0
0.06837606837606838,1.0
0.06866952789699571,1.0
0.06896551724137931,1.0
0.06926406926406926,1.0
0.06956521739130435,1.0
0.06986899563318777,1.0
0.07017543859649122,1.0
0.07048458149779736,1.0
0.07079646017699115,1.0
0.07111111111111111,1.0
0.07142857142857142,1.0
0.07174887892376682,1.0
0.07207207207207207,1.0
0.07239819004524888,1.0
0.07272727272727272,1.0
0.0730593607305936,1.0
0.07339449541284404,1.0
0.07373271889400922,1.0
0.07407407407407407,1.0
0.07441860465116279,1.0
0.07476635514018691,1.0
0.07511737089201878,1.0
0.07547169811320754,1.0
0.07582938388625593,1.0
0.0761904761904762,1.0
0.07655502392344497,1.0
0.07692307692307693,1.0
0.07729468599033816,1.0
0.07766990291262135,1.0
0.07804878048780488,1.0
0.0784313725490196,1.0
0.07881773399014778,1.0
0.07920792079207921,1.0
0.07960199004975124,1.0
0.08,1.0
0.08040201005025126,1.0
0.08080808080808081,1.0
0.08121827411167512,1.0
0.08163265306122448,1.0
0.08205128205128205,1.0
0.08247422680412371,1.0
0.08290155440414508,1.0
0.08333333333333333,1.0
0.08376963350785341,1.0
0.08421052631578947,1.0
0.08465608465608465,1.0
0.0851063829787234,1.0
0.08021390374331551,0.9375
0.08064516129032258,0.9375
0.08108108108108109,0.9375
0.08152173913043478,0.9375
0.08196721311475409,0.9375
0.08241758241758242,0.9375
0.08287292817679558,0.9375
0.08333333333333333,0.9375
0.08379888268156424,0.9375
0.08426966292134831,0.9375
0.0847457627118644,0.9375
0.08522727272727272,0.9375
0.08571428571428572,0.9375
0.08620689655172414,0.9375
0.08670520231213873,0.9375
0.08139534883720931,0.875
0.08187134502923976,0.875
0.08235294117647059,0.875
0.08284023668639054,0.875
0.07738095238095238,0.8125
0.0718562874251497,0.75
0.07228915662650602,0.75
0.07272727272727272,0.75
0.07317073170731707,0.75
0.0736196319018405,0.75
0.07407407407407407,0.75
0.07453416149068323,0.75
0.06875,0.6875
0.06918238993710692,0.6875
0.06962025316455696,0.6875
0.07006369426751592,0.6875
0.07051282051282051,0.6875
0.07096774193548387,0.6875
0.07142857142857142,0.6875
0.0718954248366013,0.6875
0.07236842105263158,0.6875
0.0728476821192053,0.6875
0.07333333333333333,0.6875
0.0738255033557047,0.6875
0.07432432432432433,0.6875
0.07482993197278912,0.6875
0.07534246575342465,0.6875
0.07586206896551724,0.6875
0.0763888888888889,0.6875
0.07692307692307693,0.6875
0.07746478873239436,0.6875
0.07801418439716312,0.6875
0.07857142857142857,0.6875
0.07913669064748201,0.6875
0.07971014492753623,0.6875
0.08029197080291971,0.6875
0.08088235294117647,0.6875
0.08148148148148149,0.6875
0.08208955223880597,0.6875
0.08270676691729323,0.6875
0.08333333333333333,0.6875
0.08396946564885496,0.6875
0.08461538461538462,0.6875
0.08527131782945736,0.6875
0.0859375,0.6875
0.08661417322834646,0.6875
0.07936507936507936,0.625
0.08,0.625
0.08064516129032258,0.625
0.08130081300813008,0.625
0.08196721311475409,0.625
0.08264462809917356,0.625
0.08333333333333333,0.625
0.08403361344537816,0.625
0.0847457627118644,0.625
0.08547008547008547,0.625
0.08620689655172414,0.625
0.08695652173913043,0.625
0.08771929824561403,0.625
0.08849557522123894,0.625
0.08928571428571429,0.625
0.09009009009009009,0.625
0.09090909090909091,0.625
0.09174311926605505,0.625
0.09259259259259259,0.625
0.09345794392523364,0.625
0.09433962264150944,0.625
0.09523809523809523,0.625
0.09615384615384616,0.625
0.0970873786407767,0.625
0.09803921568627451,0.625
0.09900990099009901,0.625
0.1,0.625
0.10101010101010101,0.625
0.10204081632653061,0.625
0.10309278350515463,0.625
