fpr,tpr
0.0,0.0
0.009523809523809525,0.0
0.009523809523809525,0.022222222222222223
0.01904761904761905,0.022222222222222223
0.01904761904761905,0.044444444444444446
0.02857142857142857,0.044444444444444446
0.02857142857142857,0.06666666666666667
0.14285714285714285,0.06666666666666667
0.14285714285714285,0.08888888888888889
0.17142857142857143,0.08888888888888889
0.17142857142857143,0.1111111111111111
0.18095238095238095,0.1111111111111111
0.18095238095238095,0.13333333333333333
0.19047619047619047,0.13333333333333333
0.19047619047619047,0.15555555555555556
0.21904761904761905,0.15555555555555556
0.21904761904761905,0.17777777777777778
0.2571428571428571,0.17777777777777778
0.2571428571428571,0.2
0.2761904761904762,0.2
0.2761904761904762,0.2222222222222222
0.2857142857142857,0.2222222222222222
0.2857142857142857,0.24444444444444444
0.3238095238095238,0.24444444444444444
0.3238095238095238,0.3111111111111111
0.4095238095238095,0.3111111111111111
0.4095238095238095,0.35555555555555557
0.44761904761904764,0.35555555555555557
0.44761904761904764,0.37777777777777777
0.5047619047619047,0.37777777777777777
0.5047619047619047,0.4
0.5142857142857142,0.4
0.5142857142857142,0.4222222222222222
0.5238095238095238,0.4222222222222222
0.5238095238095238,0.4888888888888889
0.5333333333333333,0.4888888888888889
0.5333333333333333,0.5111111111111111
0.6095238095238096,0.5111111111111111
0.6095238095238096,0.5333333333333333
0.6571428571428571,0.5333333333333333
0.6571428571428571,0.5555555555555556
0.6857142857142857,0.5555555555555556
0.6857142857142857,0.5777777777777777
0.7047619047619048,0.5777777777777777
0.7047619047619048,0.6
0.7523809523809524,0.6
0.7523809523809524,0.6222222222222222
0.8,0.6222222222222222
0.8,0.6444444444444445
0.8095238095238095,0.6444444444444445
0.8095238095238095,0.6666666666666666
0.819047619047619,0.6666666666666666
0.819047619047619,0.6888888888888889
0.8285714285714286,0.6888888888888889
0.8285714285714286,0.7333333333333333
0.8571428571428571,0.7333333333333333
0.8571428571428571,0.7555555555555555
0.8857142857142857,0.7555555555555555
0.8857142857142857,0.8222222222222222
0.8952380952380953,0.8222222222222222
0.8952380952380953,0.8444444444444444
0.9047619047619048,0.8444444444444444
0.9047619047619048,0.8888888888888888
0.9142857142857143,0.8888888888888888
0.9142857142857143,0.9111111111111111
0.9428571428571428,0.9111111111111111
0.9428571428571428,0.9333333333333333
0.9714285714285714,0.9333333333333333
0.9714285714285714,0.9777777777777777
0.9904761904761905,0.9777777777777777
0.9904761904761905,1.0
1.0,1.0
