mae,rmse,r2,wape,smape,candidate_name,model_family
20.178145513163134,27.290805823388652,0.9544001476458357,0.0699580598845638,0.08265661582583732,XGB_n100_d5_lr0.03_mcw1,XGBoost
20.203344184651478,27.31422920044294,0.954321838422419,0.07004542421484097,0.08272734001954528,XGB_n100_d5_lr0.03_mcw3,XGBoost
18.481948393057632,25.190666327484514,0.9611482998429202,0.06407730837412612,0.07414663762052125,XGB_n100_d5_lr0.06_mcw1,XGBoost
18.504096958573122,25.207602178752598,0.9610960417731107,0.06415409792208923,0.07437109431700073,XGB_n100_d5_lr0.06_mcw3,XGBoost
18.34189208439709,24.920304567800848,0.961977785344299,0.0635917301716053,0.07371089414724238,XGB_n100_d5_lr0.1_mcw1,XGBoost
18.31181194058739,24.829417124707106,0.9622546230612476,0.06348744167291237,0.07356924782784607,XGB_n100_d5_lr0.1_mcw3,XGBoost
19.652796392756038,26.478881890975345,0.9570730529621744,0.06813666330469638,0.0803947604725806,XGB_n100_d6_lr0.03_mcw1,XGBoost
19.643542120382033,26.47146145928482,0.9570971092532381,0.06810457854544501,0.08033395354670866,XGB_n100_d6_lr0.03_mcw3,XGBoost
18.221025462871975,24.754638732934588,0.9624816350987129,0.06317268302273907,0.07294396440476815,XGB_n100_d6_lr0.06_mcw1,XGBoost
18.197166477688555,24.701240908334874,0.9626433210227326,0.06308996341338956,0.07291832997303133,XGB_n100_d6_lr0.06_mcw3,XGBoost
18.065160533353882,24.656982551947873,0.9627770684753548,0.06263229599529808,0.07231224450435128,XGB_n100_d6_lr0.1_mcw1,XGBoost
18.111151121179258,24.629677892836344,0.9628594627185274,0.06279174634196721,0.07243461491503551,XGB_n100_d6_lr0.1_mcw3,XGBoost
19.101390542604744,25.90084463159953,0.9589267970441894,0.06622492748831926,0.07834853218682913,XGB_n100_d8_lr0.03_mcw1,XGBoost
19.132913250648024,25.91991284434906,0.9588662985641775,0.06633421738790773,0.07841528941936926,XGB_n100_d8_lr0.03_mcw3,XGBoost
17.955245141740853,24.51362696023918,0.9632086381766832,0.062251216993578946,0.071698749966814,XGB_n100_d8_lr0.06_mcw1,XGBoost
18.01259716745331,24.557320606853388,0.9630773657680491,0.062450057687173696,0.07190577898709007,XGB_n100_d8_lr0.06_mcw3,XGBoost
18.179923104098645,24.762986468974873,0.9624563270166494,0.06303018027021479,0.07234733734417591,XGB_n100_d8_lr0.1_mcw1,XGBoost
18.071839398663613,24.70296275621985,0.9626381128017539,0.06265545176345301,0.07197494413914327,XGB_n100_d8_lr0.1_mcw3,XGBoost
18.737861325097303,25.448193475471466,0.9603498683579909,0.06496456395532839,0.07532465287348074,XGB_n150_d5_lr0.03_mcw1,XGBoost
18.741588784752242,25.46806303258872,0.9602879277633389,0.06497748713727232,0.07534334605622921,XGB_n150_d5_lr0.03_mcw3,XGBoost
18.15571188688498,24.761486040602804,0.9624608765394298,0.06294623946492091,0.07302547399703119,XGB_n150_d5_lr0.06_mcw1,XGBoost
18.162198125697714,24.758652103055663,0.962469468709021,0.06296872739291165,0.07312095461053164,XGB_n150_d5_lr0.06_mcw3,XGBoost
18.145424645932,24.67582325262458,0.9627201617514313,0.0629105733816247,0.07306799864506143,XGB_n150_d5_lr0.1_mcw1,XGBoost
18.020938648715607,24.497455519004635,0.9632571640923626,0.062478977780216584,0.07265349127203553,XGB_n150_d5_lr0.1_mcw3,XGBoost
18.3282650535445,24.917562868045792,0.9619861511940699,0.0635444849656565,0.07341821664972371,XGB_n150_d6_lr0.03_mcw1,XGBoost
18.34167749156374,24.93948313152575,0.961919239345086,0.06359098617368554,0.07340132859614697,XGB_n150_d6_lr0.03_mcw3,XGBoost
18.011569453076934,24.50371126360879,0.963238396172129,0.06244649457956106,0.0722830011591196,XGB_n150_d6_lr0.06_mcw1,XGBoost
17.993604143133297,24.46906339696533,0.9633422833449299,0.06238420846768512,0.07226407276510807,XGB_n150_d6_lr0.06_mcw3,XGBoost
18.00905854252394,24.59252191864183,0.9629714375427394,0.062437789199241714,0.07209588013152157,XGB_n150_d6_lr0.1_mcw1,XGBoost
18.000178283026894,24.521760483958694,0.9631842196719523,0.06240700115059376,0.07205915460571415,XGB_n150_d6_lr0.1_mcw3,XGBoost
18.01425671383114,24.62489807940996,0.9628738768423057,0.06245581136978074,0.07189658505125895,XGB_n150_d8_lr0.03_mcw1,XGBoost
18.067016763478602,24.67765230230876,0.9627146349487157,0.06263873158464102,0.07198801034325908,XGB_n150_d8_lr0.03_mcw3,XGBoost
17.944566282284338,24.49696416301183,0.96325863801128,0.06221419316059735,0.07163007750356938,XGB_n150_d8_lr0.06_mcw1,XGBoost
17.948769301908996,24.44150509423994,0.9634248084136963,0.062228765119076185,0.07167656180849034,XGB_n150_d8_lr0.06_mcw3,XGBoost
18.151469376087675,24.766375431118696,0.9624460501630872,0.06293153058970613,0.07230303842667127,XGB_n150_d8_lr0.1_mcw1,XGBoost
18.115272256643294,24.77147594818873,0.9624305804560589,0.06280603440631868,0.07213966521682158,XGB_n150_d8_lr0.1_mcw3,XGBoost
18.417119186701107,25.025438130039074,0.9616562930462418,0.06385254413612416,0.07406167683781925,XGB_n200_d5_lr0.03_mcw1,XGBoost
18.405888198643467,25.03817263524933,0.961617259773842,0.06381360606153319,0.07405769086964076,XGB_n200_d5_lr0.03_mcw3,XGBoost
17.984439654028606,24.538599172377083,0.9631336407339601,0.06235243498893907,0.07236842472333127,XGB_n200_d5_lr0.06_mcw1,XGBoost
18.050611851958305,24.602336490350915,0.9629418763614309,0.06258185540730404,0.0727813718217174,XGB_n200_d5_lr0.06_mcw3,XGBoost
18.026365060825135,24.550743892297678,0.9630971396769118,0.062497791266474235,0.07256806659928909,XGB_n200_d5_lr0.1_mcw1,XGBoost
17.95445776901878,24.445441848258863,0.963413025249948,0.06224848715559625,0.0723443383874045,XGB_n200_d5_lr0.1_mcw3,XGBoost
18.045650380558467,24.53456596356764,0.9631457585818016,0.06256465388038082,0.07243482743345478,XGB_n200_d6_lr0.03_mcw1,XGBoost
18.094815289964327,24.59294885552468,0.9629701518676623,0.06273510966751895,0.07255849663201841,XGB_n200_d6_lr0.03_mcw3,XGBoost
17.90210311778859,24.393018834074937,0.963569777821037,0.06206697246567553,0.07188841561651296,XGB_n200_d6_lr0.06_mcw1,XGBoost
17.91439261951834,24.38653374086519,0.9635891458199792,0.06210958042969285,0.07199205266742832,XGB_n200_d6_lr0.06_mcw3,XGBoost
17.984322179872432,24.58680270756402,0.9629886581873168,0.062352027703539765,0.07198864045417969,XGB_n200_d6_lr0.1_mcw1,XGBoost
17.983869577800444,24.522416323661595,0.9631822503538576,0.062350458522524826,0.07197365744330828,XGB_n200_d6_lr0.1_mcw3,XGBoost
17.880194384894462,24.43826993166203,0.963434490211898,0.061991014422514305,0.07141168055789847,XGB_n200_d8_lr0.03_mcw1,XGBoost
17.92779206491223,24.481137607523802,0.9633060970646826,0.062156036592013325,0.07143620701404779,XGB_n200_d8_lr0.03_mcw3,XGBoost
17.923364892657066,24.489811239628796,0.9632800912637383,0.06214068749159456,0.0715758258655997,XGB_n200_d8_lr0.06_mcw1,XGBoost
17.920546283683226,24.44221384568514,0.9634226871780648,0.06213091531430232,0.07162836512746483,XGB_n200_d8_lr0.06_mcw3,XGBoost
18.21411823437692,24.86829347667366,0.9621363318154011,0.06314873551456107,0.07247813383081157,XGB_n200_d8_lr0.1_mcw1,XGBoost
18.14835616255551,24.79411058442643,0.9623618918842087,0.06292073701214101,0.07229245575551531,XGB_n200_d8_lr0.1_mcw3,XGBoost
