accuracy,precision,recall,f1,operating_threshold,roc_auc,pr_auc,confusion_matrix,candidate_name,model_family,sampling_strategy,is_sampled
0.9893333333333333,1.0,0.6862745098039216,0.813953488372093,0.5,0.9814341195415363,0.9021417227234705,"[[1449, 0], [16, 35]]",RF_n100_d8_l1_None_Nat,RandomForest,Natural_None,False
0.9733333333333334,0.5733333333333334,0.8431372549019608,0.6825396825396826,0.5,0.9832474052422902,0.8212490959034067,"[[1417, 32], [8, 43]]",RF_n100_d8_l1_balanced_Nat,RandomForest,Natural_balanced,False
0.9886666666666667,1.0,0.6666666666666666,0.8,0.5,0.9830579574825099,0.9000781121947724,"[[1449, 0], [17, 34]]",RF_n100_d8_l2_None_Nat,RandomForest,Natural_None,False
0.9726666666666667,0.5657894736842105,0.8431372549019608,0.6771653543307087,0.5,0.9836533647275335,0.8337529400675097,"[[1416, 33], [8, 43]]",RF_n100_d8_l2_balanced_Nat,RandomForest,Natural_balanced,False
0.9886666666666667,0.925,0.7254901960784313,0.8131868131868132,0.5,0.9864680171585543,0.9069091910268483,"[[1446, 3], [14, 37]]",RF_n100_d12_l1_None_Nat,RandomForest,Natural_None,False
0.9846666666666667,0.7692307692307693,0.7843137254901961,0.7766990291262136,0.5,0.9869687005236877,0.8602653254005526,"[[1437, 12], [11, 40]]",RF_n100_d12_l1_balanced_Nat,RandomForest,Natural_balanced,False
0.988,0.9459459459459459,0.6862745098039216,0.7954545454545454,0.5,0.9796478978064656,0.8976630810148083,"[[1447, 2], [16, 35]]",RF_n100_d12_l2_None_Nat,RandomForest,Natural_None,False
0.982,0.7,0.8235294117647058,0.7567567567567568,0.5,0.9836195347704298,0.8615686392491957,"[[1431, 18], [9, 42]]",RF_n100_d12_l2_balanced_Nat,RandomForest,Natural_balanced,False
0.9893333333333333,0.926829268292683,0.7450980392156863,0.8260869565217391,0.5,0.9821580806235538,0.9014028364260915,"[[1446, 3], [13, 38]]",RF_n100_d16_l1_None_Nat,RandomForest,Natural_None,False
0.986,0.8125,0.7647058823529411,0.7878787878787878,0.5,0.9828211477827846,0.8819423203219793,"[[1440, 9], [12, 39]]",RF_n100_d16_l1_balanced_Nat,RandomForest,Natural_balanced,False
0.9886666666666667,0.9473684210526315,0.7058823529411765,0.8089887640449438,0.5,0.9815694393699509,0.903111228060554,"[[1447, 2], [15, 36]]",RF_n100_d16_l2_None_Nat,RandomForest,Natural_None,False
0.9853333333333333,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.5,0.9803447949228,0.8598270104525976,"[[1438, 11], [11, 40]]",RF_n100_d16_l2_balanced_Nat,RandomForest,Natural_balanced,False
0.9893333333333333,0.926829268292683,0.7450980392156863,0.8260869565217391,0.5,0.9828143817913639,0.905093764226254,"[[1446, 3], [13, 38]]",RF_n100_dNone_l1_None_Nat,RandomForest,Natural_None,False
0.988,0.8666666666666667,0.7647058823529411,0.8125,0.5,0.982909105671254,0.8813773145285253,"[[1443, 6], [12, 39]]",RF_n100_dNone_l1_balanced_Nat,RandomForest,Natural_balanced,False
0.9886666666666667,0.9473684210526315,0.7058823529411765,0.8089887640449438,0.5,0.9816370992841581,0.9023523619741837,"[[1447, 2], [15, 36]]",RF_n100_dNone_l2_None_Nat,RandomForest,Natural_None,False
0.9866666666666667,0.8163265306122449,0.7843137254901961,0.8,0.5,0.9805883706139461,0.8663859365779567,"[[1440, 9], [11, 40]]",RF_n100_dNone_l2_balanced_Nat,RandomForest,Natural_balanced,False
0.988,0.9714285714285714,0.6666666666666666,0.7906976744186046,0.5,0.9831120854138756,0.9059107367795248,"[[1448, 1], [17, 34]]",RF_n150_d8_l1_None_Nat,RandomForest,Natural_None,False
0.97,0.5375,0.8431372549019608,0.6564885496183206,0.5,0.9831391493795585,0.8215168733587127,"[[1412, 37], [8, 43]]",RF_n150_d8_l1_balanced_Nat,RandomForest,Natural_balanced,False
0.988,0.9714285714285714,0.6666666666666666,0.7906976744186046,0.5,0.9835586408476434,0.9026849217748116,"[[1448, 1], [17, 34]]",RF_n150_d8_l2_None_Nat,RandomForest,Natural_None,False
0.97,0.5375,0.8431372549019608,0.6564885496183206,0.5,0.9836804286932165,0.8351167124509542,"[[1412, 37], [8, 43]]",RF_n150_d8_l2_balanced_Nat,RandomForest,Natural_balanced,False
0.9886666666666667,0.925,0.7254901960784313,0.8131868131868132,0.5,0.9852907346513484,0.9058831703246772,"[[1446, 3], [14, 37]]",RF_n150_d12_l1_None_Nat,RandomForest,Natural_None,False
0.984,0.7454545454545455,0.803921568627451,0.7735849056603774,0.5,0.9858929078877928,0.8522037796714922,"[[1435, 14], [10, 41]]",RF_n150_d12_l1_balanced_Nat,RandomForest,Natural_balanced,False
0.988,0.9459459459459459,0.6862745098039216,0.7954545454545454,0.5,0.9845600075779103,0.9049224516928659,"[[1447, 2], [16, 35]]",RF_n150_d12_l2_None_Nat,RandomForest,Natural_None,False
0.982,0.7068965517241379,0.803921568627451,0.7522935779816514,0.5,0.9831932773109244,0.8652407334078801,"[[1432, 17], [10, 41]]",RF_n150_d12_l2_balanced_Nat,RandomForest,Natural_balanced,False
0.9893333333333333,0.926829268292683,0.7450980392156863,0.8260869565217391,0.5,0.9820024628208772,0.9035020156607356,"[[1446, 3], [13, 38]]",RF_n150_d16_l1_None_Nat,RandomForest,Natural_None,False
0.9853333333333333,0.7959183673469388,0.7647058823529411,0.78,0.5,0.9822325065291817,0.8771095657739592,"[[1439, 10], [12, 39]]",RF_n150_d16_l1_balanced_Nat,RandomForest,Natural_balanced,False
0.988,0.9459459459459459,0.6862745098039216,0.7954545454545454,0.5,0.9803177309571172,0.9029612475576759,"[[1447, 2], [16, 35]]",RF_n150_d16_l2_None_Nat,RandomForest,Natural_None,False
0.986,0.8,0.7843137254901961,0.7920792079207921,0.5,0.9803650928970623,0.867241736178641,"[[1439, 10], [11, 40]]",RF_n150_d16_l2_balanced_Nat,RandomForest,Natural_balanced,False
0.9893333333333333,0.926829268292683,0.7450980392156863,0.8260869565217391,0.5,0.9830444254996686,0.90590342072245,"[[1446, 3], [13, 38]]",RF_n150_dNone_l1_None_Nat,RandomForest,Natural_None,False
0.988,0.8666666666666667,0.7647058823529411,0.8125,0.5,0.9823136984262305,0.8759471637479218,"[[1443, 6], [12, 39]]",RF_n150_dNone_l1_balanced_Nat,RandomForest,Natural_balanced,False
0.9873333333333333,0.9444444444444444,0.6666666666666666,0.7816091954022989,0.5,0.9812446717817561,0.9047518379680645,"[[1447, 2], [17, 34]]",RF_n150_dNone_l2_None_Nat,RandomForest,Natural_None,False
0.9873333333333333,0.8333333333333334,0.7843137254901961,0.8080808080808081,0.5,0.9805410086740011,0.8721994923162981,"[[1441, 8], [11, 40]]",RF_n150_dNone_l2_balanced_Nat,RandomForest,Natural_balanced,False
0.988,0.9714285714285714,0.6666666666666666,0.7906976744186046,0.5,0.9838834084358381,0.9081330436733485,"[[1448, 1], [17, 34]]",RF_n200_d8_l1_None_Nat,RandomForest,Natural_None,False
0.9693333333333334,0.5308641975308642,0.8431372549019608,0.6515151515151515,0.5,0.9828820417055711,0.8218239507613433,"[[1411, 38], [8, 43]]",RF_n200_d8_l1_balanced_Nat,RandomForest,Natural_balanced,False
0.988,0.9714285714285714,0.6666666666666666,0.7906976744186046,0.5,0.9832338732594487,0.9019991685323178,"[[1448, 1], [17, 34]]",RF_n200_d8_l2_None_Nat,RandomForest,Natural_None,False
0.9693333333333334,0.5301204819277109,0.8627450980392157,0.6567164179104478,0.5,0.9835992367961678,0.8356023871173769,"[[1410, 39], [7, 44]]",RF_n200_d8_l2_balanced_Nat,RandomForest,Natural_balanced,False
0.9886666666666667,0.925,0.7254901960784313,0.8131868131868132,0.5,0.9858184819821648,0.9069253311073139,"[[1446, 3], [14, 37]]",RF_n200_d12_l1_None_Nat,RandomForest,Natural_None,False
0.9833333333333333,0.75,0.7647058823529411,0.7572815533980582,0.5,0.9852704366770862,0.852953051253871,"[[1436, 13], [12, 39]]",RF_n200_d12_l1_balanced_Nat,RandomForest,Natural_balanced,False
0.9873333333333333,0.9210526315789473,0.6862745098039216,0.7865168539325843,0.5,0.9847223913720077,0.9051406530927534,"[[1446, 3], [16, 35]]",RF_n200_d12_l2_None_Nat,RandomForest,Natural_None,False
0.9833333333333333,0.7241379310344828,0.8235294117647058,0.7706422018348624,0.5,0.9822189745463402,0.8647620453955173,"[[1433, 16], [9, 42]]",RF_n200_d12_l2_balanced_Nat,RandomForest,Natural_balanced,False
0.9886666666666667,0.925,0.7254901960784313,0.8131868131868132,0.5,0.9814544175157986,0.9026067375022168,"[[1446, 3], [14, 37]]",RF_n200_d16_l1_None_Nat,RandomForest,Natural_None,False
0.9846666666666667,0.78,0.7647058823529411,0.7722772277227723,0.5,0.9818400790267798,0.8761686294145448,"[[1438, 11], [12, 39]]",RF_n200_d16_l1_balanced_Nat,RandomForest,Natural_balanced,False
0.9873333333333333,0.9210526315789473,0.6862745098039216,0.7865168539325843,0.5,0.9871310843177852,0.9036847894299196,"[[1446, 3], [16, 35]]",RF_n200_d16_l2_None_Nat,RandomForest,Natural_None,False
0.9866666666666667,0.803921568627451,0.803921568627451,0.803921568627451,0.5,0.9800944532402334,0.8671522339817146,"[[1439, 10], [10, 41]]",RF_n200_d16_l2_balanced_Nat,RandomForest,Natural_balanced,False
0.9886666666666667,0.925,0.7254901960784313,0.8131868131868132,0.5,0.9827602538599981,0.9061799780862793,"[[1446, 3], [14, 37]]",RF_n200_dNone_l1_None_Nat,RandomForest,Natural_None,False
0.9873333333333333,0.8636363636363636,0.7450980392156863,0.8,0.5,0.9821716126063953,0.8767995007207854,"[[1443, 6], [13, 38]]",RF_n200_dNone_l1_balanced_Nat,RandomForest,Natural_balanced,False
0.9873333333333333,0.9210526315789473,0.6862745098039216,0.7865168539325843,0.5,0.9811296499276039,0.9044851353952551,"[[1446, 3], [16, 35]]",RF_n200_dNone_l2_None_Nat,RandomForest,Natural_None,False
0.9873333333333333,0.8333333333333334,0.7843137254901961,0.8080808080808081,0.5,0.9804801147512143,0.8709365664671141,"[[1441, 8], [11, 40]]",RF_n200_dNone_l2_balanced_Nat,RandomForest,Natural_balanced,False
0.984,0.8648648648648649,0.6274509803921569,0.7272727272727273,0.5,0.9805477746654216,0.8228489377056017,"[[1444, 5], [19, 32]]",XGB_d4_lr0.03_spw1.0_Nat,XGBoost,scale_pos_1.0,False
0.976,0.6229508196721312,0.7450980392156863,0.6785714285714286,0.5,0.9803650928970622,0.7296240709732345,"[[1426, 23], [13, 38]]",XGB_d4_lr0.03_spw10.0_Nat,XGBoost,scale_pos_10.0,False
0.9486666666666667,0.38596491228070173,0.8627450980392157,0.5333333333333333,0.5,0.9775504404660414,0.7108475475559272,"[[1379, 70], [7, 44]]",XGB_d4_lr0.03_spw28.5_Nat,XGBoost,scale_pos_28.5,False
0.9853333333333333,0.8372093023255814,0.7058823529411765,0.7659574468085106,0.5,0.9864815491413956,0.8359263927532333,"[[1442, 7], [15, 36]]",XGB_d4_lr0.08_spw1.0_Nat,XGBoost,scale_pos_1.0,False
