accuracy,precision,recall,f1,operating_threshold,roc_auc,pr_auc,confusion_matrix,candidate_name,model_family,sampling_strategy,is_sampled
0.9258933333333333,0.4466943403867571,0.9793562708102109,0.6135447086636073,0.5,0.9834715082397749,0.7521634085388866,"[[65030, 5465], [93, 4412]]",LR_C0.01_ROS,LogisticRegression,RandomOverSampling_TrainOnly,True
0.92316,0.4377351019600079,0.9815760266370699,0.605463134113781,0.5,0.9834666874068493,0.7520313848762148,"[[64815, 5680], [83, 4422]]",LR_C0.01_Weighted,LogisticRegression,Class_Weighted,False
0.9285866666666667,0.4558380902957966,0.9749167591564928,0.6212164073550213,0.5,0.9834727425745279,0.752142026005977,"[[65252, 5243], [113, 4392]]",LR_C0.1_ROS,LogisticRegression,RandomOverSampling_TrainOnly,True
0.92824,0.454648877857069,0.9758046614872364,0.6202906730633554,0.5,0.9834655538341168,0.7520187678869871,"[[65222, 5273], [109, 4396]]",LR_C0.1_Weighted,LogisticRegression,Class_Weighted,False
0.9288666666666666,0.4568337840649053,0.9749167591564928,0.6221403782137546,0.5,0.9834734069741016,0.7521847953606936,"[[65273, 5222], [113, 4392]]",LR_C1.0_ROS,LogisticRegression,RandomOverSampling_TrainOnly,True
0.9286933333333334,0.4562259840066466,0.9751387347391787,0.6216216216216216,0.5,0.9834638755167103,0.752016000696018,"[[65259, 5236], [112, 4393]]",LR_C1.0_Weighted,LogisticRegression,Class_Weighted,False
0.92892,0.45702393340270553,0.9749167591564928,0.6223166843783209,0.5,0.983473416420541,0.7521852103711061,"[[65277, 5218], [113, 4392]]",LR_C10.0_ROS,LogisticRegression,RandomOverSampling_TrainOnly,True
0.9288,0.4566053424799917,0.9751387347391787,0.6219736655811978,0.5,0.9834652672921207,0.7520458482918236,"[[65267, 5228], [112, 4393]]",LR_C10.0_Weighted,LogisticRegression,Class_Weighted,False
0.93764,0.4902582691436339,0.9607103218645949,0.6492162304057602,0.5,0.9830966231419346,0.7445769469024967,"[[65995, 4500], [177, 4328]]",XGB_d4_lr0.05_spw8.0_Nat,XGBoost,scale_pos_8.0,False
0.93836,0.49325405899839925,0.9576026637069922,0.6511206701381028,0.5,0.9832542511535873,0.747572513827475,"[[66063, 4432], [191, 4314]]",XGB_d4_lr0.1_spw8.0_Nat,XGBoost,scale_pos_8.0,False
0.9257466666666667,0.4461429439157724,0.9782463928967814,0.6128067857887785,0.5,0.9830696708758164,0.7443906495103377,"[[65024, 5471], [98, 4407]]",XGB_d4_lr0.05_spw15.6_Nat,XGBoost,scale_pos_15.6,False
0.9263066666666666,0.4480374211917836,0.9780244173140954,0.6145477369412093,0.5,0.9831369389710418,0.7467688377612027,"[[65067, 5428], [99, 4406]]",XGB_d4_lr0.1_spw15.6_Nat,XGBoost,scale_pos_15.6,False
0.93872,0.49477551957744864,0.9564927857935627,0.6521870743151204,0.5,0.9830876710661622,0.7455221749197248,"[[66095, 4400], [196, 4309]]",XGB_d6_lr0.05_spw8.0_Nat,XGBoost,scale_pos_8.0,False
0.93936,0.49750897926080406,0.9531631520532742,0.6537758830694276,0.5,0.9829820000458152,0.746036662847533,"[[66158, 4337], [211, 4294]]",XGB_d6_lr0.1_spw8.0_Nat,XGBoost,scale_pos_8.0,False
0.9272533333333334,0.4512057465366855,0.9760266370699223,0.6171228070175439,0.5,0.9830504961781674,0.7442305043625694,"[[65147, 5348], [108, 4397]]",XGB_d6_lr0.05_spw15.6_Nat,XGBoost,scale_pos_15.6,False
0.9284666666666667,0.45531074620660983,0.9724750277469478,0.6202307637856587,0.5,0.9828614288416643,0.7450375698692497,"[[65254, 5241], [124, 4381]]",XGB_d6_lr0.1_spw15.6_Nat,XGBoost,scale_pos_15.6,False
0.9293733333333334,0.4585687382297552,0.9729189789123196,0.623337836876911,0.5,0.9809081476248621,0.6985091143073481,"[[65320, 5175], [122, 4383]]",RF_d12_l2_Weighted,RandomForest,Class_Weighted,False
0.9287466666666667,0.45633392318101385,0.9731409544950056,0.6213151927437641,0.5,0.9811528576384579,0.7041101704967443,"[[65272, 5223], [121, 4384]]",RF_d12_l5_Weighted,RandomForest,Class_Weighted,False
0.93672,0.4864225352112676,0.95826859045505,0.6452914798206278,0.5,0.9807270467856168,0.7059797735299046,"[[65937, 4558], [188, 4317]]",RF_d16_l2_Weighted,RandomForest,Class_Weighted,False
0.9346266666666667,0.47806437389770723,0.962708102108768,0.6388745672829049,0.5,0.9816090482405259,0.7153040358706434,"[[65760, 4735], [168, 4337]]",RF_d16_l5_Weighted,RandomForest,Class_Weighted,False
