Task Identifier,Detector Model,Evaluation Metric,Baseline Score,Tuned Test Score,Absolute Gain,Relative Contrast Gain (%),Score Std Dev,P95 Score,P5 Score,Epistemic Status
textile,PCA_comp6,ADCR (Anomaly Degradation Contrast Ratio),0.9431395762095427,2.8024312944762144,1.8592917182666717,+197.14%,0.1346,-0.0225,-0.45,CONTROLLED_SYNTHETIC
synthetic_factory,IF_n100_cauto_f1.0,MASI (Multivariate Anomaly Separation Index),2.1023814134877425,2.1023814134877425,0.0,+0.00%,0.0452,-0.4873,-0.6169,CONTROLLED_SYNTHETIC
