accuracy,precision,recall,f1,operating_threshold,roc_auc,pr_auc,confusion_matrix,candidate_name,model_family,sampling_strategy
0.5266666666666666,0.3787878787878788,0.45454545454545453,0.4132231404958678,0.5,0.5184688995215311,0.3991380099685067,"[[54, 41], [30, 25]]",RF_n100_d4_l2_balanced,RandomForest,balanced
0.52,0.3559322033898305,0.38181818181818183,0.3684210526315789,0.5,0.5198086124401915,0.36434412885272804,"[[57, 38], [34, 21]]",RF_n100_d4_l2_balanced_subsample,RandomForest,balanced_subsample
0.54,0.3939393939393939,0.4727272727272727,0.4297520661157025,0.5,0.5180861244019138,0.37805028882409797,"[[55, 40], [29, 26]]",RF_n100_d4_l5_balanced,RandomForest,balanced
0.5533333333333333,0.4032258064516129,0.45454545454545453,0.42735042735042733,0.5,0.5265071770334928,0.3676291588964218,"[[58, 37], [30, 25]]",RF_n100_d4_l5_balanced_subsample,RandomForest,balanced_subsample
0.5,0.3387096774193548,0.38181818181818183,0.358974358974359,0.5,0.4956937799043062,0.3705606643937994,"[[54, 41], [34, 21]]",RF_n100_d6_l2_balanced,RandomForest,balanced
0.5733333333333334,0.3783783783783784,0.2545454545454545,0.30434782608695654,0.5,0.5008612440191387,0.36892551424312814,"[[72, 23], [41, 14]]",RF_n100_d6_l2_balanced_subsample,RandomForest,balanced_subsample
0.5533333333333333,0.4,0.43636363636363634,0.41739130434782606,0.5,0.510622009569378,0.3647571262540384,"[[59, 36], [31, 24]]",RF_n100_d6_l5_balanced,RandomForest,balanced
0.58,0.40476190476190477,0.3090909090909091,0.35051546391752575,0.5,0.5194258373205742,0.3813455801525791,"[[70, 25], [38, 17]]",RF_n100_d6_l5_balanced_subsample,RandomForest,balanced_subsample
0.5533333333333333,0.3888888888888889,0.38181818181818183,0.3853211009174312,0.5,0.4773205741626794,0.3556625034178158,"[[62, 33], [34, 21]]",RF_n100_d8_l2_balanced,RandomForest,balanced
0.5933333333333334,0.40625,0.23636363636363636,0.2988505747126437,0.5,0.5261244019138756,0.37890932977122327,"[[76, 19], [42, 13]]",RF_n100_d8_l2_balanced_subsample,RandomForest,balanced_subsample
0.54,0.3870967741935484,0.43636363636363634,0.41025641025641024,0.5,0.504688995215311,0.365430210367619,"[[57, 38], [31, 24]]",RF_n100_d8_l5_balanced,RandomForest,balanced
0.5466666666666666,0.3673469387755102,0.32727272727272727,0.34615384615384615,0.5,0.49511961722488035,0.34933197159931123,"[[64, 31], [37, 18]]",RF_n100_d8_l5_balanced_subsample,RandomForest,balanced_subsample
0.5533333333333333,0.4,0.43636363636363634,0.41739130434782606,0.5,0.5111961722488038,0.36361024913911033,"[[59, 36], [31, 24]]",RF_n200_d4_l2_balanced,RandomForest,balanced
0.5533333333333333,0.3695652173913043,0.3090909090909091,0.33663366336633666,0.5,0.5096650717703349,0.3634453544515691,"[[66, 29], [38, 17]]",RF_n200_d4_l2_balanced_subsample,RandomForest,balanced_subsample
0.54,0.3870967741935484,0.43636363636363634,0.41025641025641024,0.5,0.5050717703349282,0.3581581243120916,"[[57, 38], [31, 24]]",RF_n200_d4_l5_balanced,RandomForest,balanced
0.5533333333333333,0.3888888888888889,0.38181818181818183,0.3853211009174312,0.5,0.5088995215311005,0.36308457483431383,"[[62, 33], [34, 21]]",RF_n200_d4_l5_balanced_subsample,RandomForest,balanced_subsample
0.54,0.38333333333333336,0.41818181818181815,0.4,0.5,0.5075598086124402,0.3756588297000895,"[[58, 37], [32, 23]]",RF_n200_d6_l2_balanced,RandomForest,balanced
0.5733333333333334,0.38461538461538464,0.2727272727272727,0.3191489361702128,0.5,0.4962679425837321,0.35920595628587093,"[[71, 24], [40, 15]]",RF_n200_d6_l2_balanced_subsample,RandomForest,balanced_subsample
0.5466666666666666,0.3898305084745763,0.41818181818181815,0.40350877192982454,0.5,0.5113875598086124,0.3636206513484457,"[[59, 36], [32, 23]]",RF_n200_d6_l5_balanced,RandomForest,balanced
0.5733333333333334,0.3953488372093023,0.3090909090909091,0.3469387755102041,0.5,0.5092822966507177,0.36710191290848815,"[[69, 26], [38, 17]]",RF_n200_d6_l5_balanced_subsample,RandomForest,balanced_subsample
0.5666666666666667,0.4107142857142857,0.41818181818181815,0.4144144144144144,0.5,0.5004784688995215,0.37171857292154475,"[[62, 33], [32, 23]]",RF_n200_d8_l2_balanced,RandomForest,balanced
0.6,0.4074074074074074,0.2,0.2682926829268293,0.5,0.510622009569378,0.371633312389785,"[[79, 16], [44, 11]]",RF_n200_d8_l2_balanced_subsample,RandomForest,balanced_subsample
0.54,0.38333333333333336,0.41818181818181815,0.4,0.5,0.5133014354066985,0.3672470598560362,"[[58, 37], [32, 23]]",RF_n200_d8_l5_balanced,RandomForest,balanced
0.5533333333333333,0.3695652173913043,0.3090909090909091,0.33663366336633666,0.5,0.4911004784688995,0.347245543131955,"[[66, 29], [38, 17]]",RF_n200_d8_l5_balanced_subsample,RandomForest,balanced_subsample
0.62,0.0,0.0,0.0,0.5,0.4955023923444976,0.3451323765576175,"[[93, 2], [55, 0]]",XGB_n80_d3_lr0.03_spw1.0,XGBoost,scale_pos_1.0
0.52,0.36065573770491804,0.4,0.3793103448275862,0.5,0.49473684210526314,0.3597006215410832,"[[56, 39], [33, 22]]",XGB_n80_d3_lr0.03_spw2.1,XGBoost,scale_pos_2.1
0.42,0.3709677419354839,0.8363636363636363,0.5139664804469274,0.5,0.5113875598086124,0.36556450125759987,"[[17, 78], [9, 46]]",XGB_n80_d3_lr0.03_spw3.1,XGBoost,scale_pos_3.1
0.5866666666666667,0.23076923076923078,0.05454545454545454,0.08823529411764706,0.5,0.47330143540669856,0.3347731873586314,"[[85, 10], [52, 3]]",XGB_n80_d3_lr0.08_spw1.0,XGBoost,scale_pos_1.0
0.54,0.4,0.509090909090909,0.448,0.5,0.48650717703349283,0.3392714618316217,"[[53, 42], [27, 28]]",XGB_n80_d3_lr0.08_spw2.1,XGBoost,scale_pos_2.1
0.44,0.3564356435643564,0.6545454545454545,0.46153846153846156,0.5,0.4851674641148326,0.34907265845543245,"[[30, 65], [19, 36]]",XGB_n80_d3_lr0.08_spw3.1,XGBoost,scale_pos_3.1
0.6066666666666667,0.0,0.0,0.0,0.5,0.5075598086124402,0.3622154176830429,"[[91, 4], [55, 0]]",XGB_n80_d4_lr0.03_spw1.0,XGBoost,scale_pos_1.0
0.5266666666666666,0.36666666666666664,0.4,0.3826086956521739,0.5,0.4956937799043062,0.34748075396574296,"[[57, 38], [33, 22]]",XGB_n80_d4_lr0.03_spw2.1,XGBoost,scale_pos_2.1
0.43333333333333335,0.3584905660377358,0.6909090909090909,0.4720496894409938,0.5,0.514066985645933,0.3645180451811359,"[[27, 68], [17, 38]]",XGB_n80_d4_lr0.03_spw3.1,XGBoost,scale_pos_3.1
0.58,0.3,0.10909090909090909,0.16,0.5,0.4989473684210526,0.35332482861991343,"[[81, 14], [49, 6]]",XGB_n80_d4_lr0.08_spw1.0,XGBoost,scale_pos_1.0
0.54,0.38333333333333336,0.41818181818181815,0.4,0.5,0.4974162679425837,0.37747254773248323,"[[58, 37], [32, 23]]",XGB_n80_d4_lr0.08_spw2.1,XGBoost,scale_pos_2.1
0.48,0.3614457831325301,0.5454545454545454,0.43478260869565216,0.5,0.5029665071770335,0.3705963274046473,"[[42, 53], [25, 30]]",XGB_n80_d4_lr0.08_spw3.1,XGBoost,scale_pos_3.1
