candidate_name,model_family,adcr,mean_val_score,std_val_score,p95_val_score,p5_val_score
IF_n100_cauto_f0.8,IsolationForest,0.8631292045643285,-0.49511717676051636,0.016891973434842795,-0.4681857856282649,-0.5236999181290788
IF_n100_cauto_f1.0,IsolationForest,0.8552889309917965,-0.49328729996648535,0.018213466282758863,-0.4658439651871299,-0.5251006962194145
IF_n100_c0.02_f0.8,IsolationForest,0.8631292045643285,-0.49511717676051636,0.016891973434842795,-0.4681857856282649,-0.5236999181290788
IF_n100_c0.02_f1.0,IsolationForest,0.8552889309917965,-0.49328729996648535,0.018213466282758863,-0.4658439651871299,-0.5251006962194145
IF_n100_c0.05_f0.8,IsolationForest,0.8631292045643285,-0.49511717676051636,0.016891973434842795,-0.4681857856282649,-0.5236999181290788
IF_n100_c0.05_f1.0,IsolationForest,0.8552889309917965,-0.49328729996648535,0.018213466282758863,-0.4658439651871299,-0.5251006962194145
IF_n150_cauto_f0.8,IsolationForest,0.8320742683848037,-0.4917872961994549,0.01791872358391822,-0.4631023545193522,-0.5219613524780394
IF_n150_cauto_f1.0,IsolationForest,0.877788150588185,-0.49205078641057887,0.019623378232809578,-0.46185499355341786,-0.5259992775863069
IF_n150_c0.02_f0.8,IsolationForest,0.8320742683848037,-0.4917872961994549,0.01791872358391822,-0.4631023545193522,-0.5219613524780394
IF_n150_c0.02_f1.0,IsolationForest,0.877788150588185,-0.49205078641057887,0.019623378232809578,-0.46185499355341786,-0.5259992775863069
IF_n150_c0.05_f0.8,IsolationForest,0.8320742683848037,-0.4917872961994549,0.01791872358391822,-0.4631023545193522,-0.5219613524780394
IF_n150_c0.05_f1.0,IsolationForest,0.877788150588185,-0.49205078641057887,0.019623378232809578,-0.46185499355341786,-0.5259992775863069
IF_n200_cauto_f0.8,IsolationForest,0.8507114090604383,-0.4908760682525669,0.018633280672510556,-0.4605018695573816,-0.522052334590452
IF_n200_cauto_f1.0,IsolationForest,0.864379792842894,-0.49209170633694976,0.018530038071762123,-0.46383549454898265,-0.5244424937170699
IF_n200_c0.02_f0.8,IsolationForest,0.8507114090604383,-0.4908760682525669,0.018633280672510556,-0.4605018695573816,-0.522052334590452
IF_n200_c0.02_f1.0,IsolationForest,0.864379792842894,-0.49209170633694976,0.018530038071762123,-0.46383549454898265,-0.5244424937170699
IF_n200_c0.05_f0.8,IsolationForest,0.8507114090604383,-0.4908760682525669,0.018633280672510556,-0.4605018695573816,-0.522052334590452
IF_n200_c0.05_f1.0,IsolationForest,0.864379792842894,-0.49209170633694976,0.018530038071762123,-0.46383549454898265,-0.5244424937170699
PCA_comp4,PCAReconstruction,1.8274770928305952,-0.2593354656260445,0.11545941390693452,-0.07136798910597308,-0.45005155433582256
PCA_comp6,PCAReconstruction,2.0617630523519908,-0.12326021939367482,0.09862812603800775,-0.015912761701980797,-0.31982672166220577
PCA_comp8,PCAReconstruction,0.11130427581692083,-0.003133375718992085,0.003132521280861113,-0.0002980494450261212,-0.008932224361240988
Robust_ZScore,RobustZScore,2.0554802184569883,-185.30817365626572,367.0340401576934,-1.4839000000000004,-920.7960749063664
