mae,rmse,r2,wape,smape,candidate_name,model_family
38.4427668938605,48.48075405687194,0.9719468123321502,0.08514437213733102,0.25797485426744193,XGB_d5_lr0.05_n100,XGBoost
38.18410760865485,48.32546739571676,0.9721262364856915,0.08457148459005503,0.26004425787435154,XGB_d5_lr0.05_n150,XGBoost
38.186750935760735,48.35820283651516,0.9720884605868729,0.084577339122519,0.26085104539694554,XGB_d5_lr0.1_n100,XGBoost
38.17122511142644,48.35013433942782,0.9720977738108454,0.08454295198882208,0.2610557802073742,XGB_d5_lr0.1_n150,XGBoost
38.347483068596524,48.40037907374677,0.972039752529274,0.08493333421960401,0.25817171251680954,XGB_d6_lr0.05_n100,XGBoost
38.16634420847719,48.319236427868034,0.9721334239724007,0.08453214159584947,0.260274278626218,XGB_d6_lr0.05_n150,XGBoost
38.17475723968115,48.343626152195974,0.97210528488369,0.08455077506886692,0.26085038126718185,XGB_d6_lr0.1_n100,XGBoost
38.17894418247506,48.35578978467097,0.9720912460630605,0.08456004845484215,0.2612132043046711,XGB_d6_lr0.1_n150,XGBoost
38.32240027638594,48.393059606017275,0.9720482086057892,0.08487777998231102,0.2582668889028943,XGB_d7_lr0.05_n100,XGBoost
38.175690789937576,48.33568077904887,0.9721144532363799,0.08455284272832186,0.2603566135884155,XGB_d7_lr0.05_n150,XGBoost
38.18339809538637,48.36094030723715,0.9720853004535305,0.08456991313548377,0.2609436722320333,XGB_d7_lr0.1_n100,XGBoost
38.19183591130191,48.380642194092985,0.9720625513392294,0.08458860150253919,0.2612384648391703,XGB_d7_lr0.1_n150,XGBoost
38.29347595812758,48.53423998090312,0.9718848793704008,0.08481371740002061,0.2616262405761986,RF_d14_l2,RandomForest
38.289937285125184,48.532046577781,0.9718874205207276,0.08480587982444182,0.26157812385589835,RF_d14_l4,RandomForest
38.46538588049882,48.752271249437676,0.9716317078230746,0.08519446945267307,0.26232889480480515,RF_d18_l2,RandomForest
38.44663781517792,48.73232295755046,0.971654918360014,0.08515294558799015,0.26216986977913315,RF_d18_l4,RandomForest
